round,kind,eta_eml,eta_dt,bic_eml,bic_dt,params_eml,params_dt,snap_ok,formula,outer_val_mse
0,EML,0.610538,0.100000,-28.573623,-20.010432,10,4,0,,0.202704
1,DT,0.255589,0.100000,-32.297245,-51.459453,10,4,0,,0.180638
2,DT,-0.169804,0.100000,-16.275681,-43.211419,11,3,0,,0.174736
3,DT,0.175907,0.100000,-34.740570,-57.011518,10,4,0,,0.160069
4,DT,0.037815,0.100000,-42.224427,-60.560262,9,4,0,,0.146096
5,DT,0.027210,0.100000,-46.297169,-73.833264,11,4,0,,0.136275
6,DT,0.111811,0.100000,-57.413145,-83.542474,11,4,0,,0.128026
7,DT,0.225298,0.100000,-41.066511,-64.597593,11,4,0,,0.119211
8,DT,-0.288275,0.100000,-28.246562,-55.825703,13,4,0,,0.113713
9,DT,0.339122,0.100000,-58.008213,-76.683687,11,3,0,,0.110714
10,DT,-0.042895,0.100000,-57.380358,-88.813697,13,4,0,,0.105760
11,DT,0.162133,0.100000,-69.436727,-80.783776,8,3,0,,0.102914
12,DT,0.251547,0.100000,-34.002629,-59.535092,13,4,0,,0.099925
13,DT,-0.321725,0.100000,-60.205288,-72.882793,10,3,0,,0.098388
14,DT,0.378883,0.100000,-67.382808,-88.988865,10,3,0,,0.095297
15,DT,-0.004088,0.100000,-59.266149,-87.392113,11,3,0,,0.092063
16,DT,-0.035660,0.100000,-51.690546,-87.356496,13,3,0,,0.089943
17,DT,0.026367,0.100000,-70.871658,-91.800544,9,3,0,,0.087251
18,DT,0.033480,0.100000,-56.679832,-71.666105,8,4,0,,0.085145
19,DT,0.155886,0.100000,-36.389139,-72.478641,14,3,0,,0.083667
