formula,model,train_mse,in_range_mse,extrap_mse,elapsed_seconds
"exp(x_0)",Hybrid,0.06158561754787978,0.06629503848586175,0.13050034109711492,51.18992495536804
"exp(x_0)",LightGBM,0.0003492512234319864,0.0005518158332597946,6.435304319323288,0.34499645233154297
"exp(x_0)",XGBoost,0.00021133299182352444,0.0005956835931895168,6.141424285663623,0.2861003875732422
"x_0",Hybrid,0.04281344608708961,0.04888144110594922,1.814127469368862,52.00182271003723
"x_0",LightGBM,0.0003045710923614781,0.0005938837308250333,0.38464541528772445,0.23427128791809082
"x_0",XGBoost,0.0002026666386465772,0.0005907108265170276,0.3506907533610326,0.16422080993652344
"x_0**2 + 0.5",Hybrid,0.03817220363669121,0.03863714131693018,2.3774470179924188,51.6034939289093
"x_0**2 + 0.5",LightGBM,0.0005276195064897351,0.0008585527341250564,2.898384489269093,0.23433208465576172
"x_0**2 + 0.5",XGBoost,0.00021190729184975942,0.0005617404599071423,2.7445476953061827,0.13260483741760254
